year,id,country,alcohol,fatrate,pedrate,nofault,lpopdensity,popdensity,education,ymalerate,income,raterestrict,m_alcohol,m_fatrate,m_popdensity,lm_popdensity,m_education,m_ymalerate,m_income
2010,23,Portugal,10.8,8.808284262,1.83310078,0,2.4532367312,11.62591585,15.44,5.560412746,20303.12848,0,11.33333333,10.02218377,11.5811439,2.4493782496,14.06833333,5.866811426,19143.12886
2005,24,Slovenia,10.3,12.91556325,1.85223194,0,2.2944037527,9.918520358,20.17,6.787491365,19690.1145,0,10.88333333,11.06979187,10.01401192,2.3039853042,22.23666667,6.354344048,22009.47513
2006,24,Slovenia,12.2,13.12795816,1.796982866,0,2.2972870713,9.947159881,21.38,6.619472043,21383.97973,0,10.88333333,11.06979187,10.01401192,2.3039853042,22.23666667,6.354344048,22009.47513
2007,24,Slovenia,11,14.57438083,1.591741251,0,2.3007845654,9.982010924,22.22,6.415834669,22678.39871,0,10.88333333,11.06979187,10.01401192,2.3039853042,22.23666667,6.354344048,22009.47513
2008,24,Slovenia,11,10.64534149,1.94003887,0,2.3007308426,9.981474677,22.63,6.253800125,23981.30133,0,10.88333333,11.06979187,10.01401192,2.3039853042,22.23666667,6.354344048,22009.47513
2009,24,Slovenia,10.5,8.413855406,1.180891987,0,2.3116609624,10.0911718,23.31,6.12805313,22096.00615,0,10.88333333,11.06979187,10.01401192,2.3039853042,22.23666667,6.354344048,22009.47513
2010,24,Slovenia,10.3,6.741652076,1.270166333,0,2.3188258805,10.16373386,23.71,5.921412958,22227.05038,0,10.88333333,11.06979187,10.01401192,2.3039853042,22.23666667,6.354344048,22009.47513
2005,25,Spain,11.9,10.32110318,1.579997786,0,2.1546483498,8.624856713,28.22,6.184513899,23142.51657,0,10.81666667,7.741996554,8.963639379,2.1931763252,29.21,5.745221243,25942.52596
2006,25,Spain,11.9,9.378802854,1.400878691,0,2.1712442567,8.769188377,28.48,5.98709234,25572.70326,0,10.81666667,7.741996554,8.963639379,2.1931763252,29.21,5.745221243,25942.52596
2007,25,Spain,11.1,8.595911678,1.32884745,0,2.1874830269,8.912751703,28.96,5.816140043,26799.76367,0,10.81666667,7.741996554,8.963639379,2.1931763252,29.21,5.745221243,25942.52596
2008,25,Spain,10.2,6.845797031,1.108577455,0,2.2055014959,9.074801403,29.24,5.65962518,27331.40846,0,10.81666667,7.741996554,8.963639379,2.1931763252,29.21,5.745221243,25942.52596
2009,25,Spain,10,5.922121441,1.025570036,0,2.2174631014,9.184002405,29.69,5.493608059,26620.29778,0,10.81666667,7.741996554,8.963639379,2.1931763252,29.21,5.745221243,25942.52596
2010,25,Spain,9.8,5.388243141,1.024157595,0,2.2209666756,9.216235671,30.67,5.330347939,26188.46604,0,10.81666667,7.741996554,8.963639379,2.1931763252,29.21,5.745221243,25942.52596
2005,26,Sweden,6.6,4.882708465,0.554853235,1,0.7866736564,2.196079349,29.64,6.303499214,28873.63963,0,7,4.334661121,2.231984736,0.8028912058,31.78,6.617066519,33210.85355
2006,26,Sweden,6.9,4.918348779,0.607885804,1,0.7907004305,2.204940293,30.52,6.454729826,31787.15408,0,7,4.334661121,2.231984736,0.8028912058,31.78,6.617066519,33210.85355
2007,26,Sweden,6.9,5.168294936,0.63643547,1,0.7979142684,2.220903885,31.32,6.606798445,34568.98219,0,7,4.334661121,2.231984736,0.8028912058,31.78,6.617066519,33210.85355
2008,26,Sweden,7,4.323240292,0.490039832,1,0.8055301009,2.237882488,32,6.722900262,35844.97104,0,7,4.334661121,2.231984736,0.8028912058,31.78,6.617066519,33210.85355
2009,26,Sweden,7.3,3.867616458,0.475349509,1,0.81349358,2.255774967,33.03,6.797064563,33026.89167,0,7,4.334661121,2.231984736,0.8028912058,31.78,6.617066519,33210.85355
2010,26,Sweden,7.3,2.847757798,0.331881548,1,0.8225633706,2.276327436,34.17,6.817406804,35163.48268,0,7,4.334661121,2.231984736,0.8028912058,31.78,6.617066519,33210.85355
2005,27,Switzerland,10.1,5.515770383,0.93053339,0,2.9198094633,18.537755,28.76,6.00749,33222.63283,0,10.16666667,4.837149287,18.94338542,2.9414548162,32.29166667,6.046564543,37499.20248
2006,27,Switzerland,10.2,4.96036534,1.018885854,0,2.9257292492,18.64782,29.85,6.037585842,36583.81506,0,10.16666667,4.837149287,18.94338542,2.9414548162,32.29166667,6.046564543,37499.20248
2007,27,Switzerland,10.4,5.114041119,1.052107418,0,2.9323582741,18.7718475,31.32,6.065208631,36834.30178,0,10.16666667,4.837149287,18.94338542,2.9414548162,32.29166667,6.046564543,37499.20248
2008,27,Switzerland,10.2,4.701393061,0.776980926,0,2.9435825599,18.983735,33.65,6.083848217,35932.65336,0,10.16666667,4.837149287,18.94338542,2.9414548162,32.29166667,6.046564543,37499.20248
2009,27,Switzerland,10.1,4.531375295,0.779033002,0,2.9577520706,19.25464,35.02,6.048114669,39295.27835,0,10.16666667,4.837149287,18.94338542,2.9414548162,32.29166667,6.046564543,37499.20248
2010,27,Switzerland,10,4.199950525,0.963291405,0,2.9685930642,19.464515,35.15,6.037139897,43126.53347,0,10.16666667,4.837149287,18.94338542,2.9414548162,32.29166667,6.046564543,37499.20248
2005,28,United Kingdom,11.2,5.521965073,1.157030451,0,3.2177306398,24.97138676,29.7,6.618637221,30307.63081,0,10.78333333,4.499971082,25.44834814,3.2366508348,34.965,6.718575363,31847.81084
2006,28,United Kingdom,11.1,5.421928366,1.145871459,0,3.2245566285,25.14242425,34.19,6.702816689,31890.27296,0,10.78333333,4.499971082,25.44834814,3.2366508348,34.965,6.718575363,31847.81084
2007,28,United Kingdom,11.2,4.988659728,1.081229617,0,3.2326127269,25.34579217,35.53,6.811114622,32768.44323,0,10.78333333,4.499971082,25.44834814,3.2366508348,34.965,6.718575363,31847.81084
2008,28,United Kingdom,10.4,4.278289587,0.955942966,0,3.2408097084,25.55440499,35.21,6.762471094,33566.50958,0,10.78333333,4.499971082,25.44834814,3.2366508348,34.965,6.718575363,31847.81084
2009,28,United Kingdom,10.5,3.753584577,0.841625297,0,3.2478487289,25.73491754,36.98,6.753984276,31578.77839,0,10.78333333,4.499971082,25.44834814,3.2366508348,34.965,6.718575363,31847.81084
2010,28,United Kingdom,10.3,3.03539916,0.661254935,0,3.2558310179,25.94116315,38.18,6.662428273,30975.23004,0,10.78333333,4.499971082,25.44834814,3.2366508348,34.965,6.718575363,31847.81084
2005,29,United States,8.5,14.72336923,1.655406166,1,1.1710841512,3.22548766,39.03,7.373047741,37976.57377,1,8.633333333,12.79214995,3.302290783,1.1946164043,40.45833333,7.319172921,40067.00527
2006,29,United States,8.6,14.313296,1.607011668,1,1.1807266904,3.256739985,39.48,7.375754868,40176.9639,1,8.633333333,12.79214995,3.302290783,1.1946164043,40.45833333,7.319172921,40067.00527
2007,29,United States,8.7,13.69678806,1.559931339,1,1.1902372427,3.287861136,40.27,7.351273706,40843.10034,1,8.633333333,12.79214995,3.302290783,1.1946164043,40.45833333,7.319172921,40067.00527
2008,29,United States,8.7,12.30639348,1.45152502,1,1.1996958956,3.319107414,41.1,7.315757628,40817.88122,1,8.633333333,12.79214995,3.302290783,1.1946164043,40.45833333,7.319172921,40067.00527
2009,29,United States,8.7,11.04502758,1.339433295,1,1.2084624088,3.348332326,41.21,7.273475535,39462.63507,1,8.633333333,12.79214995,3.302290783,1.1946164043,40.45833333,7.319172921,40067.00527
2010,29,United States,8.6,10.66802532,1.390764718,1,1.2167556076,3.376216175,41.66,7.22572805,41124.87733,1,8.633333333,12.79214995,3.302290783,1.1946164043,40.45833333,7.319172921,40067.00527
